DB,Clients,Threads,Run,Latency_Avg_ms,Init_Connection_Time_ms,TPS,LogFile,DockerStats_Before,DockerStats_After
postgresql,64,16,3,13.931,117.659,4594.052088,postgresql_client64_run3.log,"Name: postgresql CPUPerc: 0.07% MemUsage: 22.29MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 0B / 28.7kB","Name: postgresql CPUPerc: 0.74% MemUsage: 183.4MiB / 15.48GiB NetIO: 494MB / 357MB BlockIO: 0B / 2.93GB"
opengauss,1,1,1,5.773,23.033,173.212825,opengauss_client1_run1.log,"Name: opengauss CPUPerc: 1.35% MemUsage: 435.6MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 64.2MB / 172kB","Name: opengauss CPUPerc: 3.81% MemUsage: 669.3MiB / 15.48GiB NetIO: 18.6MB / 13.5MB BlockIO: 312MB / 1.73GB"
opengauss,1,1,2,14.882,5.211,67.196454,opengauss_client1_run2.log,"Name: opengauss CPUPerc: 0.84% MemUsage: 433.6MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 2.44% MemUsage: 558MiB / 15.48GiB NetIO: 7.23MB / 5.23MB BlockIO: 47.1MB / 614MB"
opengauss,1,1,3,20.041,14.218,49.897248,opengauss_client1_run3.log,"Name: opengauss CPUPerc: 0.66% MemUsage: 433.6MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 2.72% MemUsage: 535.7MiB / 15.48GiB NetIO: 5.37MB / 3.89MB BlockIO: 21.8MB / 415MB"
opengauss,4,1,1,13.515,118.062,295.972031,opengauss_client4_run1.log,"Name: opengauss CPUPerc: 0.70% MemUsage: 433.4MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 2.77% MemUsage: 722.2MiB / 15.48GiB NetIO: 31.8MB / 23MB BlockIO: 30.1MB / 1.68GB"
opengauss,4,1,2,12.530,147.127,319.242492,opengauss_client4_run2.log,"Name: opengauss CPUPerc: 0.55% MemUsage: 433.5MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 164kB","Name: opengauss CPUPerc: 2.99% MemUsage: 730.1MiB / 15.48GiB NetIO: 34.3MB / 24.8MB BlockIO: 4.35MB / 1.69GB"
opengauss,4,1,3,13.730,93.123,291.329610,opengauss_client4_run3.log,"Name: opengauss CPUPerc: 0.64% MemUsage: 433.1MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 2.98% MemUsage: 720.5MiB / 15.48GiB NetIO: 31.3MB / 22.7MB BlockIO: 3.58MB / 1.44GB"
opengauss,8,2,1,6.010,121.133,1331.147911,opengauss_client8_run1.log,"Name: opengauss CPUPerc: 0.69% MemUsage: 433.3MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 3.50% MemUsage: 801.5MiB / 15.48GiB NetIO: 143MB / 103MB BlockIO: 3.52MB / 4.46GB"
opengauss,8,2,2,6.691,25.715,1195.550100,opengauss_client8_run2.log,"Name: opengauss CPUPerc: 1.42% MemUsage: 433MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 7.81% MemUsage: 801.1MiB / 15.48GiB NetIO: 129MB / 93.2MB BlockIO: 3.5MB / 4.02GB"
opengauss,8,2,3,5.733,40.180,1395.370777,opengauss_client8_run3.log,"Name: opengauss CPUPerc: 1.28% MemUsage: 433MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 209kB","Name: opengauss CPUPerc: 7.74% MemUsage: 803.2MiB / 15.48GiB NetIO: 150MB / 109MB BlockIO: 3.57MB / 4.68GB"
opengauss,16,4,1,6.971,80.482,2295.096164,opengauss_client16_run1.log,"Name: opengauss CPUPerc: 1.17% MemUsage: 434MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 3.29% MemUsage: 816.3MiB / 15.48GiB NetIO: 247MB / 178MB BlockIO: 3.5MB / 4.91GB"
opengauss,16,4,2,7.053,54.532,2268.528726,opengauss_client16_run2.log,"Name: opengauss CPUPerc: 1.45% MemUsage: 432.5MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 2.76% MemUsage: 816.2MiB / 15.48GiB NetIO: 244MB / 176MB BlockIO: 3.5MB / 4.88GB"
opengauss,16,4,3,7.035,48.701,2274.286734,opengauss_client16_run3.log,"Name: opengauss CPUPerc: 1.23% MemUsage: 433.1MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 3.24% MemUsage: 819.6MiB / 15.48GiB NetIO: 244MB / 177MB BlockIO: 3.5MB / 5GB"
opengauss,32,8,1,10.141,66.278,3155.521861,opengauss_client32_run1.log,"Name: opengauss CPUPerc: 1.23% MemUsage: 433.1MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 10.00% MemUsage: 833.6MiB / 15.48GiB NetIO: 339MB / 245MB BlockIO: 3.5MB / 4.88GB"
opengauss,32,8,2,10.120,84.896,3162.105050,opengauss_client32_run2.log,"Name: opengauss CPUPerc: 1.46% MemUsage: 433.2MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 1.79% MemUsage: 835.4MiB / 15.48GiB NetIO: 340MB / 246MB BlockIO: 3.5MB / 4.78GB"
opengauss,32,8,3,10.622,70.573,3012.644630,opengauss_client32_run3.log,"Name: opengauss CPUPerc: 1.52% MemUsage: 433.1MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 172kB","Name: opengauss CPUPerc: 3.87% MemUsage: 835.5MiB / 15.48GiB NetIO: 324MB / 234MB BlockIO: 3.5MB / 4.79GB"
opengauss,64,16,1,16.583,86.374,3859.356601,opengauss_client64_run1.log,"Name: opengauss CPUPerc: 1.59% MemUsage: 433.2MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 10.60% MemUsage: 855.5MiB / 15.48GiB NetIO: 415MB / 300MB BlockIO: 3.52MB / 3.73GB"
opengauss,64,16,2,16.643,94.981,3845.547184,opengauss_client64_run2.log,"Name: opengauss CPUPerc: 1.45% MemUsage: 432.7MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 209kB","Name: opengauss CPUPerc: 11.43% MemUsage: 850.2MiB / 15.48GiB NetIO: 413MB / 299MB BlockIO: 3.5MB / 3.77GB"
opengauss,64,16,3,16.668,134.137,3839.806228,opengauss_client64_run3.log,"Name: opengauss CPUPerc: 0.75% MemUsage: 433.5MiB / 15.48GiB NetIO: 872B / 126B BlockIO: 3.5MB / 156kB","Name: opengauss CPUPerc: 11.38% MemUsage: 849.5MiB / 15.48GiB NetIO: 412MB / 299MB BlockIO: 3.51MB / 3.7GB"
